停留所名,読み
赤坂,あかさか
あかり園入口,あかりえんいりぐち
上条,あげじょう
阿知須駅前,あじすえきまえ
あすとぴあ七丁目,あすとぴあななちょうめ
あすとぴあろくちょうめ,あすとぴあろくちょうめ
阿武瀬,あぶせ
荒瀬,あらせ
アルク前,あるくまえ
市小野,いちおの
一ノ坂,いちのさか
今村,いまむら
岩倉,いわくら
上町一丁目,うえまちいっちょうめ
請川,うけがわ
後岡の辻,うしろおかのつじ
臼木,うすき
棯小野,うつぎおの
宇内,うない
鵜ノ島,うのしま
宇部駅,うべえき
宇部機械製作所,うべきかいせいさくしょ
宇部協立病院病院前,うべきょうりつびょういんまえ
宇部警察署前,うべけいさつしょまえ
宇部ケミカル正門前,うべけみかるせいもんまえ
宇部高校,うべこうこう
宇部興産中央病院,うべこうさんちゅうおうびょういん
宇部市弓道場前,うべしきゅうどうじょうまえ
宇部新川駅,うべしんかわえき
宇部中央,うべちゅうおう
瓜生野,うりうの
江頭,えがしら
黄幡公園前,おうばんこうえんまえ
大沢,おおさわ
大山,おおやま
岡の辻,おかのつじ
岡村,おかむら
岡屋,おかや
沖宇部,おきうべ
沖ノ旦,おきのだん
沖の山,おきのやま
男山入口,おとこやまいりぐち
小野田営業所,おのだえいぎょうしょ
小野田公園通,おのだこうえんどおり
小羽山入口,おばやまいりぐち
小羽山小学校前,おばやましょうがっこうまえ
温泉口,おんせんぐち
恩田,おんだ
恩田運動公園,おんだうんどうこうえん
嘉川駅,かがわえき
嘉川駅前,かがわえきまえ
香川学園前,かがわがくえんまえ
梶返入口,かじがえしいりぐち
柏崎,かしわざき
片倉,かたくら
片倉入口,かたくらいりぐち
上宇部会館前,かみうべかいかんまえ
上梅田,かみうめだ
上小野,かみおの
上嘉川,かみかがわ
上中野,かみなかの
上中山,かみなかやま
神原公園,かみはらこうえん
神原中学前,かみはらちゅうがくまえ
神原町二丁目,かみはらちょうにちょうめ
亀浦,かめうら
亀浦四丁目,かめうらよんちょうめ
川上校入口,かわかみこういりぐち
川上中学前,かわかみちゅうがくまえ
川崎美術館前,かわさきびじゅつかんまえ
環境センター,かんきょうせんたー
企業団地入口,きぎょうだんちいりぐち
木田,きだ
北小羽山一丁目,きたおばやまいっちょうめ
北小羽山入口,きたおばやまいりぐち
北小羽山二丁目,きたおばやまにちょうめ
北琴芝,きたことしば
北迫,きたさこ
北迫新町,きたさこしんまち
記念会館前,きねんかいかんまえ
岐波,きわ
近隣センター,きんりんせんたー
空港通,くうこうどおり
草江,くさえ
串,くし
車地,くるまじ
黒石,くろいし
黒岩,くろいわ
慶進高校前,けいしんこうこうまえ
工学部通,こうがくぶどおり
工学部前,こうがくぶまえ
興産本社前,こうさんほんしゃまえ
高専グランド前,こうせんぐらんどまえ
交通局,こうつうきょく
厚南泉町,こうなんいずみちょう
厚南校前,こうなんこうまえ
厚南市民センター,こうなんしみんせんたー
厚南鍋倉,こうなんなべくら
幸の橋,こうのはし
高領,こうりょう
高嶺病院前,こうりょうびょういんまえ
小串,こぐし
小串台,こぐしだい
ココランド,ここらんど
五十目山,ごじゅうめやま
湖水ホール入口,こすいほーるいりぐち
五反田,ごたんだ
厚東駅,ことうえき
厚東市民センター,ことうしみんせんたー
琴芝駅前,ことしばえきまえ
寿町二丁目,ことぶきちょうにちょうめ
小松原通,こまつばらどおり
幸町,さいわいまち
笹ヶ峠,ささがたお
笹山,ささやま
佐山,さやま
猿田,さるた
